Ayurvedic Medicine,Diseases Cured,Cautions and Precautions,Properties,Key Ingredients,Mode of Action
Jatamansi-Brahmi Lepa,Stress Relief,Avoid contact with eyes,"Brain tonic, Stress relief","Jatamansi (Spikenard) paste, Brahmi (Bacopa monnieri) paste",Skin rejuvenation and stress relief
Chandan-Haritaki-Tulsi Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Detoxifying, Skin soothing","Sandalwood (Chandan) powder, Haritaki (Terminalia chebula) paste, Tulsi (Holy Basil) paste",Skin health and complexion improvement
Chandan-Haritaki-Tulsi Lepa,Skin Detoxification,Perform a patch test for allergies,"Skin lightening, Detoxifying, Skin soothing","Sandalwood (Chandan) powder, Haritaki (Terminalia chebula) paste, Tulsi (Holy Basil) paste",Skin health and complexion improvement
Bakuchiol-Ashwagandha Lepa,Skin Rejuvenation,Patch test for sensitivities,"Anti-aging, Stress relief","Bakuchiol (Bakuchiol extract) paste, Ashwagandha (Withania somnifera) paste",Skin health and complexion improvement
Bakuchiol-Ashwagandha Lepa,Stress Relief,Patch test for sensitivities,"Anti-aging, Stress relief","Bakuchiol (Bakuchiol extract) paste, Ashwagandha (Withania somnifera) paste",Skin health and complexion improvement
Chandan-Aloe Vera-Neem Lepa,Skin Healing,Avoid contact with eyes,"Skin soothing, Anti-acne, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel, Neem paste",Skin health and complexion improvement
Chandan-Aloe Vera-Neem Lepa,Acne,Avoid contact with eyes,"Skin soothing, Anti-acne, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel, Neem paste",Skin health and complexion improvement
Chandan-Guggulu-Vidanga Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Antifungal, Antibacterial","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste, Vidanga (Embelia ribes) paste",Skin health and complexion improvement
Chandan-Guggulu-Vidanga Lepa,Skin Fungus,Avoid excessive dryness,"Skin lightening, Antifungal, Antibacterial","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste, Vidanga (Embelia ribes) paste",Skin health and complexion improvement
Guduchi-Tulsi-Neem Lepa,Immunity,Perform a patch test for allergies,"Immune-boosting, Skin soothing, Antibacterial","Guduchi (Tinospora cordifolia) paste, Tulsi (Holy Basil) paste, Neem paste",Skin soothing and anti-inflammatory
Guduchi-Tulsi-Neem Lepa,Skin Allergies,Perform a patch test for allergies,"Immune-boosting, Skin soothing, Antibacterial","Guduchi (Tinospora cordifolia) paste, Tulsi (Holy Basil) paste, Neem paste",Skin soothing and anti-inflammatory
Chandan-Kumari (Aloe Vera)-Neem Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Anti-acne, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel, Neem paste",Skin health and complexion improvement
Chandan-Kumari (Aloe Vera)-Neem Lepa,Acne,Perform a patch test for allergies,"Skin lightening, Anti-acne, Antibacterial","Sandalwood (Chandan) powder, Aloe Vera gel, Neem paste",Skin health and complexion improvement
Brahmi-Vacha (Calamus)-Haridra Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Skin lightening, Scar reduction","Brahmi (Bacopa monnieri) paste, Vacha (Calamus) root paste, Haridra (Turmeric) paste",Skin rejuvenation and complexion improvement
Brahmi-Vacha (Calamus)-Haridra Lepa,Skin Brightening,Avoid contact with eyes,"Brain tonic, Skin lightening, Scar reduction","Brahmi (Bacopa monnieri) paste, Vacha (Calamus) root paste, Haridra (Turmeric) paste",Skin rejuvenation and complexion improvement
Pudina (Mint)-Lemon-Neem Lepa,Skin Cooling,Avoid contact with eyes,"Cooling, Anti-acne, Antibacterial","Pudina (Mint) leaves paste, Lemon juice, Neem paste",Cooling and soothing properties
Pudina (Mint)-Lemon-Neem Lepa,Acne,Avoid contact with eyes,"Cooling, Anti-acne, Antibacterial","Pudina (Mint) leaves paste, Lemon juice, Neem paste",Cooling and soothing properties
Nagkesar (Mesua ferrea)-Tulsi Lepa,Skin Radiance,Patch test for sensitivities,"Skin lightening, Anti-allergic","Nagkesar (Mesua ferrea) paste, Tulsi (Holy Basil) paste",Skin rejuvenation and purification
Nagkesar (Mesua ferrea)-Tulsi Lepa,Allergies,Patch test for sensitivities,"Skin lightening, Anti-allergic","Nagkesar (Mesua ferrea) paste, Tulsi (Holy Basil) paste",Skin rejuvenation and purification
Brahmi-Shankhapushpi Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Memory enhancement","Brahmi (Bacopa monnieri) paste, Shankhapushpi (Convolvulus pluricaulis) paste","Enhances cognitive function, reduces stress"
Brahmi-Shankhapushpi Lepa,Memory,Avoid contact with eyes,"Brain tonic, Memory enhancement","Brahmi (Bacopa monnieri) paste, Shankhapushpi (Convolvulus pluricaulis) paste","Enhances cognitive function, reduces stress"
Chandan-Gotu Kola-Trikatu Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste","Soothes skin, improves circulation"
Chandan-Gotu Kola-Trikatu Lepa,Digestive Health,Avoid contact with eyes,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste","Soothes skin, improves circulation"
Vacha (Calamus)-Haridra-Tulsi Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Anti-allergic, Scar reduction","Vacha (Calamus) root paste, Haridra (Turmeric) paste, Tulsi (Holy Basil) paste","Skin detoxification, anti-inflammatory"
Vacha (Calamus)-Haridra-Tulsi Lepa,Skin Allergies,Avoid contact with eyes,"Skin lightening, Anti-allergic, Scar reduction","Vacha (Calamus) root paste, Haridra (Turmeric) paste, Tulsi (Holy Basil) paste","Skin detoxification, anti-inflammatory"
Chandan-Ashoka Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Uterine tonic, Hormonal balance","Sandalwood (Chandan) powder, Ashoka (Saraca asoca) bark paste",Cooling and astringent effect
Chandan-Ashoka Lepa,Menstrual Disorders,Avoid excessive dryness,"Skin lightening, Uterine tonic, Hormonal balance","Sandalwood (Chandan) powder, Ashoka (Saraca asoca) bark paste",Cooling and astringent effect
Chandan-Kesar-Trikatu Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Saffron (Kesar), Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste","Skin nourishment, improved blood circulation"
Chandan-Kesar-Trikatu Lepa,Digestive Health,Patch test for saffron allergies,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Saffron (Kesar), Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste","Skin nourishment, improved blood circulation"
Chandan-Bilva (Bael)-Triphala Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Digestive, Detoxifying","Sandalwood (Chandan) powder, Bilva (Aegle marmelos) leaves paste, Triphala powder",Skin hydration and rejuvenation
Chandan-Bilva (Bael)-Triphala Lepa,Digestive Health,Avoid excessive dryness,"Skin lightening, Digestive, Detoxifying","Sandalwood (Chandan) powder, Bilva (Aegle marmelos) leaves paste, Triphala powder",Skin hydration and rejuvenation
Chandan-Pudina (Mint)-Kumari (Aloe Vera) Lepa,Skin Cooling,Avoid contact with eyes,"Cooling, Sunburn relief, Skin soothing","Sandalwood (Chandan) powder, Pudina (Mint)",Cooling and soothing properties
Chandan-Pudina (Mint)-Kumari (Aloe Vera) Lepa,Sunburn,Avoid contact with eyes,"Cooling, Sunburn relief, Skin soothing","Sandalwood (Chandan) powder, Pudina (Mint)",Cooling and soothing properties
Medicine,Diseases Cured,Cautions and Precautions,Basic Properties,Key Ingredients,
Chandan-Gotu Kola-Lavang (Clove) Lepa,Skin Brightening,Avoid swallowing if used in the mouth,"Skin lightening, Analgesic","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Lavang (Clove) paste",Skin rejuvenation and antimicrobial
Chandan-Gotu Kola-Lavang (Clove) Lepa,Toothache,Avoid swallowing if used in the mouth,"Skin lightening, Analgesic","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Lavang (Clove) paste",Skin rejuvenation and antimicrobial
Chandan-Ashwagandha-Gokshura Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Diuretic","Sandalwood (Chandan) powder, Ashwagandha (Withania somnifera) paste, Gokshura (Tribulus terrestris) paste","Skin nourishment, stress reduction"
Chandan-Ashwagandha-Gokshura Lepa,Urinary Health,Avoid contact with eyes,"Skin lightening, Diuretic","Sandalwood (Chandan) powder, Ashwagandha (Withania somnifera) paste, Gokshura (Tribulus terrestris) paste","Skin nourishment, stress reduction"
Chandan-Neem-Kumkumadi Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Anti-pigmentation","Sandalwood (Chandan) powder, Neem paste, Kumkumadi oil",Skin detoxification and blemish reduction
Chandan-Neem-Kumkumadi Lepa,Pigmentation,Perform a patch test for allergies,"Skin lightening, Anti-pigmentation","Sandalwood (Chandan) powder, Neem paste, Kumkumadi oil",Skin detoxification and blemish reduction
Yashtimadhu (Licorice)-Manjishta Lepa,Skin Allergies,Perform a patch test for allergies,"Skin soothing, Anti-acne, Antibacterial","Yashtimadhu (Licorice) root paste, Manjistha (Indian Madder) paste",Skin brightening and anti-inflammatory
Yashtimadhu (Licorice)-Manjishta Lepa,Acne,Perform a patch test for allergies,"Skin soothing, Anti-acne, Antibacterial","Yashtimadhu (Licorice) root paste, Manjistha (Indian Madder) paste",Skin brightening and anti-inflammatory
Chandan-Guduchi-Haritaki Lepa,Skin Brightening,Avoid excessive application,"Skin lightening, Digestive, Detoxifying","Sandalwood (Chandan) powder, Guduchi (Tinospora cordifolia) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and detoxification
Chandan-Guduchi-Haritaki Lepa,Digestive Health,Avoid excessive application,"Skin lightening, Digestive, Detoxifying","Sandalwood (Chandan) powder, Guduchi (Tinospora cordifolia) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and detoxification
Punarnava (Boerhavia Diffusa)-Haridra Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Skin healing, Scar reduction","Punarnava (Boerhavia diffusa) paste, Haridra (Turmeric) paste",Skin cooling and anti-inflammatory
Punarnava (Boerhavia Diffusa)-Haridra Lepa,Skin Disorders,Avoid contact with eyes,"Skin lightening, Skin healing, Scar reduction","Punarnava (Boerhavia diffusa) paste, Haridra (Turmeric) paste",Skin cooling and anti-inflammatory
Chandan-Kantakari-Haritaki Lepa,Respiratory Disorders,Avoid excessive dryness,"Respiratory relief, Skin soothing, Detoxifying","Sandalwood (Chandan) powder, Kantakari (Solanum xanthocarpum) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and improved circulation
Chandan-Kantakari-Haritaki Lepa,Skin Healing,Avoid excessive dryness,"Respiratory relief, Skin soothing, Detoxifying","Sandalwood (Chandan) powder, Kantakari (Solanum xanthocarpum) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and improved circulation
Chandan-Shankhapushpi Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Skin lightening","Sandalwood (Chandan) powder, Shankhapushpi (Convolvulus pluricaulis) paste",Skin nourishment and relaxation
Chandan-Shankhapushpi Lepa,Skin Brightening,Avoid contact with eyes,"Brain tonic, Skin lightening","Sandalwood (Chandan) powder, Shankhapushpi (Convolvulus pluricaulis) paste",Skin nourishment and relaxation
Kapur (Camphor)-Ashwagandha Lepa,Stress Relief,Avoid contact with eyes,"Stress relief, Skin revitalization","Kapur (Camphor) paste, Ashwagandha (Withania somnifera) paste",Skin cooling and stress reduction
Kapur (Camphor)-Ashwagandha Lepa,Skin Rejuvenation,Avoid contact with eyes,"Stress relief, Skin revitalization","Kapur (Camphor) paste, Ashwagandha (Withania somnifera) paste",Skin cooling and stress reduction
Chandan-Vidari Kand-Guggulu Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Muscle strengthening","Sandalwood (Chandan) powder, Vidari Kand (Pueraria tuberosa) paste, Guggulu (Commiphora wightii) paste",Skin rejuvenation and detoxification
Chandan-Vidari Kand-Guggulu Lepa,Muscle Health,Avoid contact with eyes,"Skin lightening, Muscle strengthening","Sandalwood (Chandan) powder, Vidari Kand (Pueraria tuberosa) paste, Guggulu (Commiphora wightii) paste",Skin rejuvenation and detoxification
Khadira (Acacia Catechu)-Gokshura Lepa,Skin Infections,Avoid swallowing if used in the mouth,"Antibacterial, Diuretic, Skin soothing","Khadira (Acacia catechu) paste, Gokshura (Tribulus terrestris) paste",Skin purification and hydration
Khadira (Acacia Catechu)-Gokshura Lepa,Urinary Health,Avoid swallowing if used in the mouth,"Antibacterial, Diuretic, Skin soothing","Khadira (Acacia catechu) paste, Gokshura (Tribulus terrestris) paste",Skin purification and hydration
Chandan-Tulsi-Shankhapushpi Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Stress relief, Skin calming","Sandalwood (Chandan) powder, Tulsi (Holy Basil) paste, Shankhapushpi (Convolvulus pluricaulis) paste",Skin nourishment and relaxation
Chandan-Tulsi-Shankhapushpi Lepa,Stress Relief,Avoid contact with eyes,"Skin lightening, Stress relief, Skin calming","Sandalwood (Chandan) powder, Tulsi (Holy Basil) paste, Shankhapushpi (Convolvulus pluricaulis) paste",Skin nourishment and relaxation
Chandan-Kesar-Pudina (Mint) Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Cooling, Anti-inflammatory","Sandalwood (Chandan) powder, Saffron (Kesar), Pudina (Mint) leaves paste",Skin rejuvenation and cooling
Chandan-Kesar-Pudina (Mint) Lepa,Skin Cooling,Patch test for saffron allergies,"Skin lightening, Cooling, Anti-inflammatory","Sandalwood (Chandan) powder, Saffron (Kesar), Pudina (Mint) leaves paste",Skin rejuvenation and cooling
Haritaki-Ashwagandha Lepa,Digestive Health,Avoid excessive application,"Digestive, Stress relief","Haritaki (Terminalia chebula) paste, Ashwagandha (Withania somnifera) paste",Skin detoxification and stress reduction
Haritaki-Ashwagandha Lepa,Stress Relief,Avoid excessive application,"Digestive, Stress relief","Haritaki (Terminalia chebula) paste, Ashwagandha (Withania somnifera) paste",Skin detoxification and stress reduction
Chandan-Haritaki-Trikatu Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Haritaki (Terminalia chebula) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste",Skin rejuvenation and improved circulation
Chandan-Haritaki-Trikatu Lepa,Digestive Health,Perform a patch test for allergies,"Skin lightening, Digestive, Metabolism booster","Sandalwood (Chandan) powder, Haritaki (Terminalia chebula) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste",Skin rejuvenation and improved circulation
Vidari Kand-Manjishta Lepa,Muscle Weakness,Avoid contact with eyes,"Muscle strengthening, Skin soothing","Vidari Kand (Pueraria tuberosa) paste, Manjistha (Indian Madder) paste",Skin nourishment and brightening
Vidari Kand-Manjishta Lepa,Skin Healing,Avoid contact with eyes,"Muscle strengthening, Skin soothing","Vidari Kand (Pueraria tuberosa) paste, Manjistha (Indian Madder) paste",Skin nourishment and brightening
Chandan-Brahmi-Tagara Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Sedative","Sandalwood (Chandan) powder, Brahmi (Bacopa monnieri) paste, Tagara (Valerian) paste",Skin rejuvenation and relaxation
Chandan-Brahmi-Tagara Lepa,Sleep Disorders,Avoid contact with eyes,"Brain tonic, Sedative","Sandalwood (Chandan) powder, Brahmi (Bacopa monnieri) paste, Tagara (Valerian) paste",Skin rejuvenation and relaxation
Chandan-Kesar-Ashwagandha Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Stress relief","Sandalwood (Chandan) powder, Saffron (Kesar), Ashwagandha (Withania somnifera) paste",Skin nourishment and stress reduction
Chandan-Kesar-Ashwagandha Lepa,Stress Relief,Patch test for saffron allergies,"Skin lightening, Stress relief","Sandalwood (Chandan) powder, Saffron (Kesar), Ashwagandha (Withania somnifera) paste",Skin nourishment and stress reduction
Chandan-Ashwagandha Lepa,Skin Calming,Avoid contact with eyes,"Skin soothing, Stress relief","Sandalwood (Chandan) powder, Ashwagandha (Withania somnifera) paste",Skin soothing and stress reduction
Chandan-Ashwagandha Lepa,Stress Relief,Avoid contact with eyes,"Skin soothing, Stress relief","Sandalwood (Chandan) powder, Ashwagandha (Withania somnifera) paste",Skin soothing and stress reduction
Triphala-Neem Lepa,Acne,Perform a patch test for allergies,"Detoxifying, Anti-acne","Triphala powder, Neem paste",Skin detoxification and anti-inflammatory
Triphala-Neem Lepa,Skin Detoxification,Perform a patch test for allergies,"Detoxifying, Anti-acne","Triphala powder, Neem paste",Skin detoxification and anti-inflammatory
Chandan-Kesar-Haridra (Turmeric) Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Antibacterial, Anti-aging","Sandalwood (Chandan) powder, Saffron, Haridra (Turmeric) paste",Skin rejuvenation and anti-inflammatory
Chandan-Kesar-Haridra (Turmeric) Lepa,Acne Scars,Patch test for saffron allergies,"Skin lightening, Antibacterial, Anti-aging","Sandalwood (Chandan) powder, Saffron, Haridra (Turmeric) paste",Skin rejuvenation and anti-inflammatory
Guduchi-Haritaki Lepa,Immunity,Avoid excessive application,"Immune-boosting, Digestive","Guduchi (Tinospora cordifolia) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and detoxification
Guduchi-Haritaki Lepa,Digestive Disorders,Avoid excessive application,"Immune-boosting, Digestive","Guduchi (Tinospora cordifolia) paste, Haritaki (Terminalia chebula) paste",Skin rejuvenation and detoxification
Chandan-Lavang (Clove)-Mint Lepa,Toothache,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial, Cooling","Sandalwood (Chandan) powder, Lavang (Clove) paste, Pudina (Mint) leaves paste",Skin rejuvenation and antimicrobial
Chandan-Lavang (Clove)-Mint Lepa,Gum Infections,Avoid swallowing if used in the mouth,"Analgesic, Antibacterial, Cooling","Sandalwood (Chandan) powder, Lavang (Clove) paste, Pudina (Mint) leaves paste",Skin rejuvenation and antimicrobial
Jatamansi-Tulsi Lepa,Stress Relief,Avoid contact with eyes,"Relaxing, Stress relief","Jatamansi (Spikenard) paste, Tulsi (Holy Basil) paste",Skin calming and rejuvenation
Jatamansi-Tulsi Lepa,Anxiety,Avoid contact with eyes,"Relaxing, Stress relief","Jatamansi (Spikenard) paste, Tulsi (Holy Basil) paste",Skin calming and rejuvenation
Bakuchiol-Tulsi Lepa,Skin Rejuvenation,Patch test for sensitivities,"Anti-aging, Skin soothing, Anti-allergic","Bakuchiol (Bakuchiol extract) paste, Tulsi (Holy Basil) paste",Skin rejuvenation and soothing
Bakuchiol-Tulsi Lepa,Skin Allergies,Patch test for sensitivities,"Anti-aging, Skin soothing, Anti-allergic","Bakuchiol (Bakuchiol extract) paste, Tulsi (Holy Basil) paste",Skin rejuvenation and soothing
Chandan-Kumkumadi-Haridra Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Scar reduction, Anti-inflammatory","Sandalwood (Chandan) powder, Kumkumadi oil, Haridra (Turmeric) paste",Skin brightening and anti-inflammatory
Chandan-Kumkumadi-Haridra Lepa,Pigmentation,Patch test for saffron allergies,"Skin lightening, Scar reduction, Anti-inflammatory","Sandalwood (Chandan) powder, Kumkumadi oil, Haridra (Turmeric) paste",Skin brightening and anti-inflammatory
Shatavari-Triphala Lepa,Digestive Disorders,Avoid contact with eyes,"Digestive, Hormonal balance","Shatavari (Asparagus racemosus) paste, Triphala powder",Skin rejuvenation and detoxification
Shatavari-Triphala Lepa,Female Health,Avoid contact with eyes,"Digestive, Hormonal balance","Shatavari (Asparagus racemosus) paste, Triphala powder",Skin rejuvenation and detoxification
Chandan-Manjishta Lepa,Skin Brightening,Avoid excessive dryness,"Skin lightening, Scar reduction","Sandalwood (Chandan) powder, Manjistha (Indian Madder) paste",Skin nourishment and blemish reduction
Chandan-Manjishta Lepa,Acne Scars,Avoid excessive dryness,"Skin lightening, Scar reduction","Sandalwood (Chandan) powder, Manjistha (Indian Madder) paste",Skin nourishment and blemish reduction
Kesar-Haridra (Turmeric)-Bakuchiol Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Anti-aging, Scar reduction","Saffron (Kesar), Haridra (Turmeric) paste, Bakuchiol (Bakuchiol extract) paste",Skin brightening and rejuvenation
Kesar-Haridra (Turmeric)-Bakuchiol Lepa,Anti-aging,Patch test for saffron allergies,"Skin lightening, Anti-aging, Scar reduction","Saffron (Kesar), Haridra (Turmeric) paste, Bakuchiol (Bakuchiol extract) paste",Skin brightening and rejuvenation
Chandan-Aloe Vera-Tulsi Lepa,Skin Healing,Avoid contact with eyes,"Skin soothing, Skin brightening","Sandalwood (Chandan) powder, Aloe Vera gel, Tulsi (Holy Basil) paste",Skin soothing and hydration
Chandan-Aloe Vera-Tulsi Lepa,Skin Radiance,Avoid contact with eyes,"Skin soothing, Skin brightening","Sandalwood (Chandan) powder, Aloe Vera gel, Tulsi (Holy Basil) paste",Skin soothing and hydration
Yashtimadhu-Gokshura Lepa,Skin Allergies,Perform a patch test for allergies,"Skin soothing, Diuretic","Yashtimadhu (Licorice) root paste, Gokshura (Tribulus terrestris) paste",Skin rejuvenation and hydration
Yashtimadhu-Gokshura Lepa,Urinary Health,Perform a patch test for allergies,"Skin soothing, Diuretic","Yashtimadhu (Licorice) root paste, Gokshura (Tribulus terrestris) paste",Skin rejuvenation and hydration
Chandan-Gotu Kola-Tulsi Lepa,Skin Healing,Avoid contact with eyes,"Skin soothing, Stress relief","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Tulsi (Holy Basil) paste",Skin nourishment and rejuvenation
Chandan-Gotu Kola-Tulsi Lepa,Stress Relief,Avoid contact with eyes,"Skin soothing, Stress relief","Sandalwood (Chandan) powder, Gotu Kola (Centella asiatica) paste, Tulsi (Holy Basil) paste",Skin nourishment and rejuvenation
Chandan-Haridra-Tulsi Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Scar reduction","Sandalwood (Chandan) powder, Haridra (Turmeric) paste, Tulsi (Holy Basil) paste",Skin brightening and anti-inflammatory
Chandan-Haridra-Tulsi Lepa,Acne Scars,Perform a patch test for allergies,"Skin lightening, Scar reduction","Sandalwood (Chandan) powder, Haridra (Turmeric) paste, Tulsi (Holy Basil) paste",Skin brightening and anti-inflammatory
Brahmi-Vacha (Calamus) Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Anxiety relief",Brahmi (Bacopa monnieri,"Enhances cognitive function, skin rejuvenation"
Brahmi-Vacha (Calamus) Lepa,Anxiety,Avoid contact with eyes,"Brain tonic, Anxiety relief",Brahmi (Bacopa monnieri,"Enhances cognitive function, skin rejuvenation"
Chandan-Gulab (Rose) Lepa,Rosacea,Avoid excessive application as it may dry the skin,"Skin calming, Anti-redness, Moisturizing","Sandalwood (Chandan) powder, Rosewater",Skin nourishment and hydration
Chandan-Gulab (Rose) Lepa,Skin Redness,Avoid excessive application as it may dry the skin,"Skin calming, Anti-redness, Moisturizing","Sandalwood (Chandan) powder, Rosewater",Skin nourishment and hydration
Bhringaraj-Neem Lepa,Dandruff,Avoid contact with eyes,"Anti-dandruff, Antibacterial, Scalp soothing","Bhringaraj (Eclipta alba) paste, Neem paste","Scalp and skin nourishment, anti-inflammatory"
Bhringaraj-Neem Lepa,Scalp Infections,Avoid contact with eyes,"Anti-dandruff, Antibacterial, Scalp soothing","Bhringaraj (Eclipta alba) paste, Neem paste","Scalp and skin nourishment, anti-inflammatory"
Chandan-Kesar-Gulab Lepa,Skin Brightening,Patch test for saffron allergies,"Skin lightening, Anti-aging, Moisturizing","Sandalwood (Chandan) powder, Saffron, Rosewater",Skin rejuvenation and hydration
Chandan-Kesar-Gulab Lepa,Dark Spots,Patch test for saffron allergies,"Skin lightening, Anti-aging, Moisturizing","Sandalwood (Chandan) powder, Saffron, Rosewater",Skin rejuvenation and hydration
Haritaki-Guduchi Lepa,Digestive Disorders,Avoid excessive application as it may cause dryness,"Digestive, Immune-boosting, Detoxifying","Haritaki (Terminalia chebula) paste, Guduchi (Tinospora cordifolia) paste",Skin detoxification and rejuvenation
Haritaki-Guduchi Lepa,Immunity,Avoid excessive application as it may cause dryness,"Digestive, Immune-boosting, Detoxifying","Haritaki (Terminalia chebula) paste, Guduchi (Tinospora cordifolia) paste",Skin detoxification and rejuvenation
Vidanga (Embelia Ribes) Lepa,Skin Fungus,Perform a patch test for sensitivities,"Antifungal, Antibacterial, Skin healing",Vidanga (Embelia ribes) paste,Skin detoxification and blemish reduction
Vidanga (Embelia Ribes) Lepa,Ringworm,Perform a patch test for sensitivities,"Antifungal, Antibacterial, Skin healing",Vidanga (Embelia ribes) paste,Skin detoxification and blemish reduction
Chandan-Brahmi Lepa,Cognitive Enhancement,Avoid contact with eyes,"Brain tonic, Stress relief, Skin calming","Sandalwood (Chandan) powder, Brahmi (Bacopa monnieri) paste",Skin nourishment and relaxation
Chandan-Brahmi Lepa,Stress Relief,Avoid contact with eyes,"Brain tonic, Stress relief, Skin calming","Sandalwood (Chandan) powder, Brahmi (Bacopa monnieri) paste",Skin nourishment and relaxation
Chandan-Vidari Kand Lepa,Skin Brightening,Avoid contact with eyes,"Skin lightening, Muscle strengthening, Moisturizing","Sandalwood (Chandan) powder, Vidari Kand (Pueraria tuberosa) paste",Soothes skin and may have anti-inflammatory effects
Chandan-Vidari Kand Lepa,Muscle Weakness,Avoid contact with eyes,"Skin lightening, Muscle strengthening, Moisturizing","Sandalwood (Chandan) powder, Vidari Kand (Pueraria tuberosa) paste",Soothes skin and may have anti-inflammatory effects
Pudina (Mint)-Lemon Lepa,Skin Cooling,Avoid contact with eyes,"Cooling, Skin lightening","Pudina (Mint) leaves paste, Lemon juice",Refreshes and rejuvenates skin
Pudina (Mint)-Lemon Lepa,Hyperpigmentation,Avoid contact with eyes,"Cooling, Skin lightening","Pudina (Mint) leaves paste, Lemon juice",Refreshes and rejuvenates skin
Chandan-Rose-Haridra Lepa,Skin Brightening,Perform a patch test for allergies,"Skin lightening, Skin soothing, Anti-inflammatory","Sandalwood (Chandan) powder, Rosewater, Haridra (Turmeric) paste",Nourishes and promotes skin health
Chandan-Rose-Haridra Lepa,Eczema,Perform a patch test for allergies,"Skin lightening, Skin soothing, Anti-inflammatory","Sandalwood (Chandan) powder, Rosewater, Haridra (Turmeric) paste",Nourishes and promotes skin health
Chandan-Guggulu-Trikatu Lepa,Acne,Avoid excessive dryness,"Antibacterial, Detoxifying, Digestive","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste",May have anti-acne and anti-inflammatory properties
Chandan-Guggulu-Trikatu Lepa,Skin Detoxification,Avoid excessive dryness,"Antibacterial, Detoxifying, Digestive","Sandalwood (Chandan) powder, Guggulu (Commiphora wightii) paste, Trikatu (a combination of Ginger, Black Pepper, and Long Pepper) paste",May have anti-acne and anti-inflammatory properties
Chandan-Bakuchiol Lepa,Skin Brightening,Patch test for sensitivities,"Skin lightening, Anti-aging","Sandalwood (Chandan) powder, Bakuchiol (Bakuchiol extract) paste",May promote skin regeneration
Chandan-Bakuchiol Lepa,Anti-aging,Patch test for sensitivities,"Skin lightening, Anti-aging","Sandalwood (Chandan) powder, Bakuchiol (Bakuchiol extract) paste",May promote skin regeneration
